Created as New Dataset,Sample 037 By Administrator Date Monday, February 10 2020
cm-1,A
5211.00,1.0265
5210.00,1.0266
5209.00,1.0266
5208.00,1.0266
5207.00,1.0266
5206.00,1.0266
5205.00,1.0266
5204.00,1.0266
5203.00,1.0267
5202.00,1.0266
5201.00,1.0266
5200.00,1.0266
5199.00,1.0267
5198.00,1.0267
5197.00,1.0267
5196.00,1.0267
5195.00,1.0267
5194.00,1.0269
5193.00,1.0270
5192.00,1.0271
5191.00,1.0271
5190.00,1.0272
5189.00,1.0272
5188.00,1.0273
5187.00,1.0273
5186.00,1.0274
5185.00,1.0274
5184.00,1.0274
5183.00,1.0274
5182.00,1.0274
5181.00,1.0274
5180.00,1.0274
5179.00,1.0274
5178.00,1.0274
5177.00,1.0274
5176.00,1.0275
5175.00,1.0276
5174.00,1.0277
5173.00,1.0277
5172.00,1.0277
5171.00,1.0277
5170.00,1.0277
5169.00,1.0276
5168.00,1.0276
5167.00,1.0277
5166.00,1.0277
5165.00,1.0278
5164.00,1.0279
5163.00,1.0280
5162.00,1.0281
5161.00,1.0281
5160.00,1.0281
5159.00,1.0282
5158.00,1.0283
5157.00,1.0283
5156.00,1.0284
5155.00,1.0284
5154.00,1.0285
5153.00,1.0285
5152.00,1.0286
5151.00,1.0288
5150.00,1.0290
5149.00,1.0291
5148.00,1.0291
5147.00,1.0291
5146.00,1.0290
5145.00,1.0289
5144.00,1.0290
5143.00,1.0291
5142.00,1.0291
5141.00,1.0292
5140.00,1.0292
5139.00,1.0292
5138.00,1.0293
5137.00,1.0293
5136.00,1.0294
5135.00,1.0294
5134.00,1.0295
5133.00,1.0295
5132.00,1.0296
5131.00,1.0298
5130.00,1.0300
5129.00,1.0302
5128.00,1.0304
5127.00,1.0304
5126.00,1.0304
5125.00,1.0302
5124.00,1.0301
5123.00,1.0300
5122.00,1.0301
5121.00,1.0302
5120.00,1.0303
5119.00,1.0303
5118.00,1.0303
5117.00,1.0302
5116.00,1.0300
5115.00,1.0300
5114.00,1.0300
5113.00,1.0302
5112.00,1.0303
5111.00,1.0304
5110.00,1.0305
5109.00,1.0305
5108.00,1.0304
5107.00,1.0304
5106.00,1.0303
5105.00,1.0303
5104.00,1.0302
5103.00,1.0303
5102.00,1.0303
5101.00,1.0303
5100.00,1.0303
5099.00,1.0304
5098.00,1.0304
5097.00,1.0304
5096.00,1.0305
5095.00,1.0305
5094.00,1.0305
5093.00,1.0305
5092.00,1.0306
5091.00,1.0307
5090.00,1.0308
5089.00,1.0308
5088.00,1.0309
5087.00,1.0310
5086.00,1.0311
5085.00,1.0311
5084.00,1.0311
5083.00,1.0311
5082.00,1.0311
5081.00,1.0310
5080.00,1.0310
5079.00,1.0311
