Created as New Dataset,Sample 032 By Administrator Date Monday, February 10 2020
cm-1,A
5135.00,1.1521
5134.00,1.1522
5133.00,1.1522
5132.00,1.1523
5131.00,1.1524
5130.00,1.1524
5129.00,1.1524
5128.00,1.1524
5127.00,1.1525
5126.00,1.1525
5125.00,1.1526
5124.00,1.1526
5123.00,1.1527
5122.00,1.1527
5121.00,1.1527
5120.00,1.1527
5119.00,1.1527
5118.00,1.1527
5117.00,1.1527
5116.00,1.1527
5115.00,1.1527
5114.00,1.1526
5113.00,1.1526
5112.00,1.1526
5111.00,1.1527
5110.00,1.1528
5109.00,1.1529
5108.00,1.1529
5107.00,1.1530
5106.00,1.1529
5105.00,1.1529
5104.00,1.1529
5103.00,1.1529
5102.00,1.1529
5101.00,1.1529
5100.00,1.1529
5099.00,1.1529
5098.00,1.1528
5097.00,1.1528
5096.00,1.1528
5095.00,1.1528
5094.00,1.1529
5093.00,1.1529
5092.00,1.1530
5091.00,1.1530
5090.00,1.1530
5089.00,1.1529
5088.00,1.1528
5087.00,1.1528
5086.00,1.1528
5085.00,1.1529
5084.00,1.1529
5083.00,1.1530
5082.00,1.1531
5081.00,1.1531
5080.00,1.1530
5079.00,1.1530
5078.00,1.1530
5077.00,1.1530
5076.00,1.1531
5075.00,1.1532
5074.00,1.1532
5073.00,1.1533
5072.00,1.1533
5071.00,1.1533
5070.00,1.1532
5069.00,1.1532
5068.00,1.1532
5067.00,1.1533
5066.00,1.1533
5065.00,1.1533
5064.00,1.1534
5063.00,1.1534
5062.00,1.1533
5061.00,1.1533
5060.00,1.1533
5059.00,1.1532
5058.00,1.1532
5057.00,1.1532
5056.00,1.1532
5055.00,1.1533
5054.00,1.1533
5053.00,1.1533
5052.00,1.1534
5051.00,1.1534
5050.00,1.1535
5049.00,1.1535
5048.00,1.1535
5047.00,1.1536
5046.00,1.1536
5045.00,1.1536
5044.00,1.1536
5043.00,1.1535
5042.00,1.1535
5041.00,1.1536
5040.00,1.1536
5039.00,1.1536
5038.00,1.1535
5037.00,1.1535
5036.00,1.1535
5035.00,1.1535
5034.00,1.1535
5033.00,1.1535
5032.00,1.1534
5031.00,1.1534
5030.00,1.1533
5029.00,1.1533
5028.00,1.1533
5027.00,1.1533
5026.00,1.1534
5025.00,1.1535
5024.00,1.1535
5023.00,1.1535
5022.00,1.1535
5021.00,1.1535
5020.00,1.1535
5019.00,1.1534
5018.00,1.1533
5017.00,1.1533
5016.00,1.1533
5015.00,1.1533
5014.00,1.1533
5013.00,1.1533
5012.00,1.1533
5011.00,1.1533
5010.00,1.1533
5009.00,1.1533
5008.00,1.1532
5007.00,1.1532
5006.00,1.1531
5005.00,1.1531
5004.00,1.1531
5003.00,1.1531
5002.00,1.1531
5001.00,1.1530
5000.00,1.1530
4999.00,1.1530
4998.00,1.1530
4997.00,1.1530
4996.00,1.1532
4995.00,1.1533
4994.00,1.1534
4993.00,1.1534
4992.00,1.1533
4991.00,1.1533
4990.00,1.1532
4989.00,1.1531
4988.00,1.1530
4987.00,1.1530
4986.00,1.1530
4985.00,1.1530
4984.00,1.1530
4983.00,1.1531
4982.00,1.1531
4981.00,1.1531
4980.00,1.1531
4979.00,1.1530
4978.00,1.1530
4977.00,1.1529
4976.00,1.1529
4975.00,1.1528
4974.00,1.1528
4973.00,1.1528
4972.00,1.1528
4971.00,1.1528
4970.00,1.1529
4969.00,1.1530
4968.00,1.1530
4967.00,1.1531
4966.00,1.1530
4965.00,1.1530
4964.00,1.1530
4963.00,1.1530
4962.00,1.1530
4961.00,1.1530
4960.00,1.1530
4959.00,1.1530
4958.00,1.1529
4957.00,1.1528
4956.00,1.1528
4955.00,1.1528
4954.00,1.1529
4953.00,1.1529
4952.00,1.1529
4951.00,1.1530
4950.00,1.1530
4949.00,1.1529
4948.00,1.1529
4947.00,1.1528
4946.00,1.1528
4945.00,1.1528
4944.00,1.1527
4943.00,1.1527
4942.00,1.1527
4941.00,1.1527
4940.00,1.1527
4939.00,1.1527
4938.00,1.1527
4937.00,1.1526
4936.00,1.1526
4935.00,1.1526
4934.00,1.1526
4933.00,1.1526
4932.00,1.1525
4931.00,1.1525
4930.00,1.1524
4929.00,1.1524
4928.00,1.1524
4927.00,1.1524
4926.00,1.1525
4925.00,1.1525
4924.00,1.1525
4923.00,1.1525
4922.00,1.1524
4921.00,1.1524
4920.00,1.1523
4919.00,1.1522
4918.00,1.1522
4917.00,1.1522
4916.00,1.1522
4915.00,1.1522
4914.00,1.1522
4913.00,1.1522
4912.00,1.1522
4911.00,1.1521
4910.00,1.1520
4909.00,1.1520
4908.00,1.1519
4907.00,1.1519
4906.00,1.1519
4905.00,1.1519
4904.00,1.1519
4903.00,1.1520
4902.00,1.1520
4901.00,1.1520
4900.00,1.1520
4899.00,1.1520
4898.00,1.1520
4897.00,1.1519
4896.00,1.1518
4895.00,1.1517
4894.00,1.1517
4893.00,1.1516
4892.00,1.1517
4891.00,1.1517
4890.00,1.1517
4889.00,1.1517
4888.00,1.1517
4887.00,1.1517
4886.00,1.1517
4885.00,1.1517
4884.00,1.1517
4883.00,1.1517
4882.00,1.1516
4881.00,1.1515
4880.00,1.1515
4879.00,1.1515
4878.00,1.1515
4877.00,1.1514
4876.00,1.1514
4875.00,1.1513
4874.00,1.1514
4873.00,1.1514
4872.00,1.1515
4871.00,1.1515
4870.00,1.1515
4869.00,1.1515
4868.00,1.1514
4867.00,1.1513
4866.00,1.1512
4865.00,1.1512
4864.00,1.1511
4863.00,1.1511
4862.00,1.1511
4861.00,1.1511
4860.00,1.1511
4859.00,1.1511
4858.00,1.1511
4857.00,1.1510
4856.00,1.1510
4855.00,1.1510
4854.00,1.1510
4853.00,1.1510
4852.00,1.1510
4851.00,1.1509
4850.00,1.1509
4849.00,1.1508
4848.00,1.1508
4847.00,1.1508
4846.00,1.1508
4845.00,1.1508
4844.00,1.1507
4843.00,1.1507
4842.00,1.1507
4841.00,1.1507
4840.00,1.1507
4839.00,1.1506
4838.00,1.1506
4837.00,1.1505
4836.00,1.1505
4835.00,1.1505
4834.00,1.1505
4833.00,1.1504
4832.00,1.1504
4831.00,1.1504
4830.00,1.1504
4829.00,1.1505
4828.00,1.1505
4827.00,1.1505
4826.00,1.1504
4825.00,1.1504
4824.00,1.1503
4823.00,1.1502
4822.00,1.1502
4821.00,1.1501
4820.00,1.1501
4819.00,1.1500
4818.00,1.1500
4817.00,1.1499
4816.00,1.1498
4815.00,1.1498
4814.00,1.1497
4813.00,1.1497
4812.00,1.1496
4811.00,1.1496
4810.00,1.1497
4809.00,1.1497
4808.00,1.1497
4807.00,1.1497
4806.00,1.1496
4805.00,1.1496
4804.00,1.1495
4803.00,1.1494
4802.00,1.1494
4801.00,1.1494
4800.00,1.1494
4799.00,1.1494
4798.00,1.1493
4797.00,1.1493
4796.00,1.1493
4795.00,1.1493
4794.00,1.1492
4793.00,1.1492
4792.00,1.1491
4791.00,1.1491
4790.00,1.1490
4789.00,1.1490
4788.00,1.1490
4787.00,1.1490
4786.00,1.1490
4785.00,1.1490
4784.00,1.1491
4783.00,1.1490
4782.00,1.1490
4781.00,1.1489
4780.00,1.1488
4779.00,1.1488
4778.00,1.1487
4777.00,1.1487
4776.00,1.1486
4775.00,1.1486
4774.00,1.1486
4773.00,1.1486
4772.00,1.1485
4771.00,1.1484
4770.00,1.1484
4769.00,1.1483
4768.00,1.1483
4767.00,1.1483
4766.00,1.1483
4765.00,1.1483
